category_name,original_text,created_text,name,model_name,prompt_type,Rouge-L-Score,BLEU,Semantic_Similarity,METEOR_Score,orig_complete_hierarchy,orig_child_only,created_complete_hierarchy,created_child_only
Nonfiction,"Using the Cards to Supercharge Story Ideas, Deepen Characters, & Illuminate Plotlines","Nonfiction is a brand dedicated to empowering writers by merging analytical rigor with creative exploration, offering tools that transform structured methodologies into imaginative fuel. Their project *Tarot for Fiction Writers* reimagines tarot as a practical creative framework, using its archetypal imagery and symbolic systems to help writers generate ideas, deepen character development, and navigate narrative structure—bridging intuitive inspiration with strategic storytelling craft.",Tarot for Fiction Writers,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.022, 'Recall': 0.636, 'F1': 0.042}",0.003,0.399,0.139,[],[],"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Nonfiction,"The first English translation of ""La Prostitution Contemporaine"" by Leo Taxil, to make sex worker history more accessible.","Nonfiction is a brand dedicated to critical social analysis through meticulously researched, provocative narratives that challenge societal norms, while Leo Taxil’s *Contemporary Prostitution* (translated) exemplifies this ethos by dissecting the systemic exploitation and moral hypocrisy embedded in 19th-century prostitution, framing it as a reflection of broader power imbalances and cultural contradictions. The project exposes how marginalized individuals, particularly women, are commodified under patriarchal capitalism, urging readers to confront uncomfortable truths about societal structures rather than moralize individual choices.","""Contemporary Prostitution"" by Leo Taxil, Translation",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.02, 'Recall': 0.444, 'F1': 0.038}",0.003,0.459,0.134,"['Ethos', 'Ad Hominem', 'Smears']",['Smears'],"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']"
Nonfiction,A therapist's illustrated guide to mindful transformation for living your best life.,"Nonfiction champions authentic self-expression through mindful beauty, blending intentional skincare and fragrance to reflect inner narratives outwardly. Their project *Your Way There (To Being Fully Alive)* embodies this ethos as a call to embrace individuality and self-discovery, rejecting rigid societal scripts. It frames beauty as a journey toward wholeness—urging people to trust their instincts, honor their unique paths, and cultivate courage to live fully, anchored in the belief that true vitality arises from aligning outward presence with inner truth.",Your Way There (To Being Fully Alive),deepseek-ai/deepseek-r1,generic,"{'Precision': 0.019, 'Recall': 0.462, 'F1': 0.036}",0.002,0.263,0.082,"['Ethos', 'Ad Hominem', 'Name calling/Labeling']",['Name calling/Labeling'],"['Logos', 'Justification', 'Slogans', 'Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Slogans', 'Glittering generalities (Virtue)', 'Loaded Language']"
Painting,"Lovely signed and numbered Fine Art edition of the original oil painting, Gifts of Hades","The brand *Painting* merges art with mythology, offering limited edition prints that explore themes of the underworld and afterlife through a contemporary lens, emphasizing exclusivity and craftsmanship. The project *Gifts of Hades: Limited Edition Artists Prints* embodies this vision, presenting dark, atmospheric works that reimagine Hades’ realm as a metaphor for transformation and hidden truths. Each piece blends classical symbolism with modern aesthetics, inviting collectors to own a fragment of myth redefined—bridging ancient narratives with today’s artistic innovation while evoking mystery and introspection.",Gifts of Hades: Limited Edition Artists Prints,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.024, 'Recall': 0.6, 'F1': 0.045}",0.005,0.66,0.093,[],[],"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Loaded Language']"
People,"A portrait of humanity, Miles of Portraits documents the people we meet as we bicycle around the world.","**People** is a human-centric storytelling brand dedicated to celebrating global diversity and interconnectedness through authentic narratives. Their project *Miles of Portraits India: A Magazine and Film Series* documents a journey across India, capturing intimate portraits and personal stories of individuals from varied cultures, professions, and backgrounds. By spotlighting both uniqueness and universal human threads—ambitions, struggles, joys—the project aims to foster empathy, challenge stereotypes, and illustrate how shared humanity transcends geographical and cultural divides. Through multimedia storytelling, it bridges understanding, turning strangers into neighbors and showcasing India’s rich tapestry as a microcosm of global unity.",Miles of Portraits India: A Magazine and Film Series,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.04, 'Recall': 0.556, 'F1': 0.075}",0.008,0.519,0.157,['Pathos'],[],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Performances,"A movement for peace. A public performance ritual from NYC’s dance community to the world community, streamed@Lincoln Center 9/11/19.","The brand Performances centers on creating transformative, interdisciplinary art that addresses universal themes of unity and peace through evocative live experiences. The 2019 *Table of Silence Project 9/11*, a key initiative, commemorated the September 11 attacks with a ritualistic performance featuring synchronized movements, symbolic table settings, and collective silence. Designed by choreographer Jacqulyn Buglisi, it aimed to foster global harmony, resilience, and remembrance, inviting participants and audiences to reflect on conflict resolution and shared humanity. The project embodied the brand’s mission to merge art with social consciousness, using symbolic acts to inspire dialogue and hope amid collective trauma.",2019 Table of Silence Project 9/11,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.019, 'Recall': 0.522, 'F1': 0.037}",0.002,0.48,0.125,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Performances,"THE COLORED ROOM reveals the raw and private moments that happen between women in the quiet spaces, in the absence of color and noise.","The Dorn Dance Company, a dynamic project under the brand Performances, unites nine skilled dancers with live musical accompaniment to create immersive, innovative dance experiences that blend movement and sound in real-time. Rooted in artistic collaboration and emotional storytelling, the company bridges the gap between traditional and contemporary dance, offering audiences in San Diego and Los Angeles intimate, visceral performances that emphasize human connection, spontaneity, and the transformative power of shared live art.","Dorn Dance Company - 9 dancers, live music, San Diego and LA",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.034, 'Recall': 0.375, 'F1': 0.062}",0.003,0.091,0.127,"['Ethos', 'Ad Hominem']",[],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Performances,Season 16 of the feath3r theory is breaking boundaries and redefining performance.,"Season 16 of *Performances*, titled **NEW SEASON | NEW WORKS**, embodies the brand’s commitment to avant-garde artistic exploration through its **feath3r theory** project, which redefines performance art by blending interdisciplinary mediums, digital innovation, and visceral storytelling. This season emphasizes fluidity and transformation, using the metaphor of feathers—symbolizing lightness, adaptability, and interconnectedness—to challenge traditional narratives and explore themes of identity, human connection, and societal evolution. By merging experimental techniques with immersive experiences, *Performances* invites audiences to engage with art as a dynamic, evolving force, pushing boundaries to create resonant, boundary-defying works that reflect contemporary complexities.","the feath3r theory, Season 16, NEW SEASON | NEW WORKS",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.026, 'Recall': 0.917, 'F1': 0.051}",0.007,0.585,0.14,[],[],"['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Periodicals,With funding we are ready to print the 160th edition of Small Farmer's Journal,"Periodicals champions practical, sustainable living through accessible, community-focused publications, emphasizing traditional knowledge and hands-on resilience. Its project, *Small Farmer's Journal Jump Start*, embodies this mission by equipping small-scale farmers with foundational skills, tools, and regenerative practices to establish or revitalize independent farms. The initiative merges time-tested agrarian wisdom with modern ecological insights, fostering self-reliance, environmental stewardship, and the preservation of small farming as a vital cultural and economic force.",Small Farmer's Journal Jump Start,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.026, 'Recall': 0.6, 'F1': 0.051}",0.006,0.528,0.158,[],[],"['Logos', 'Justification', 'Slogans', 'Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Slogans', 'Glittering generalities (Virtue)', 'Loaded Language']"
Periodicals,"The Midgardian is launching its first print publication, featuring exclusive art and content you won’t find anywhere else. Get it here!","Periodicals is a brand dedicated to crafting immersive, theme-driven publications that bridge mythic storytelling with contemporary relevance, offering readers a tactile escape into richly imagined worlds. *The Midgardian Magazine | Special Inaugural Print Edition* embodies this vision by presenting a curated collection of essays, art, and lore centered around Norse mythology reimagined through a modern lens, blending ancient archetypes with today’s existential questions. It positions itself as a gateway to rediscovering timeless narratives in a tactile, visually striking format, inviting audiences to explore how mythic themes resonate with personal and societal evolution.",The Midgardian Magazine | Special Inaugural Print Edition,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.03, 'Recall': 0.409, 'F1': 0.056}",0.004,0.63,0.146,[],[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Periodicals,IQ will feature in-depth perspectives and meaningful conversations with talented artists and writers from around the world.,"Periodicals is a visionary brand dedicated to curating thought-provoking, boundary-pushing content that explores the intersection of art, literature, and cultural discourse. Its flagship project, *Infected Quarterly*, is an avant-garde art and literature magazine that amplifies marginalized voices and unconventional narratives, blending raw creativity with intellectual rigor. The publication thrives on themes of transformation, decay, and rebirth, challenging societal norms through provocative visual art, experimental writing, and essays that dissect taboo or overlooked topics. By fostering a community of radical thinkers and creators, *Infected Quarterly* redefines artistic expression as a catalyst for dialogue, resistance, and visceral connection, urging readers to confront the complexities of human experience in an increasingly fragmented world.",Infected Quarterly: Art and Literature magazine,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.022, 'Recall': 0.389, 'F1': 0.042}",0.002,0.158,0.106,[],[],"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Periodicals,"A journalistic journey through time: Every issue tells the history of a new topic, from the past into the future.","**Periodicals** reimagines the magazine format as a time-travel journey, blending past, present, and future to explore transformative ideas. *The Future Chronicles #1: Internet – A Time Travel Magazine* epitomizes this vision by dissecting the internet’s evolution as a dynamic, era-spanning force. Through speculative essays, historical deep dives, and futuristic forecasts, it frames the web not just as a tool but as a cultural and technological continuum—tracing its origins, current societal impacts, and potential futures. The project merges education with imagination, inviting readers to grasp the internet’s profound influence by navigating timelines, connecting early innovations to tomorrow’s possibilities in a cohesive, engaging narrative.",The Future Chronicles #1 Internet – A Time Travel Magazine,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.028, 'Recall': 0.55, 'F1': 0.053}",0.002,0.579,0.133,[],[],"['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Pet Fashion,"Dogs just weren't built for shoes. Paw—Skins protect paws and enhance dogs' natural movement by mimicking a soft, tactile second skin.","Pet Fashion is a forward-thinking brand dedicated to merging style, innovation, and functionality in pet accessories, prioritizing animal comfort and owner aesthetics. Its flagship project, *Paw—Skins*, reimagines paw protection with cutting-edge, customizable silicone sleeves designed to shield pets’ paws from extreme temperatures, rough terrain, and chemicals, while offering sleek, modern designs. Combining durable materials, ergonomic fit, and vibrant aesthetics, Paw—Skins embodies the brand’s mission to elevate pet care into a seamless blend of practicality and high-end fashion, ensuring pets stay safe and stylish in any environment.",Paw—Skins. The next generation of paw protection.,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.031, 'Recall': 0.391, 'F1': 0.057}",0.002,0.411,0.101,"['Ethos', 'Ad Hominem']",[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Photo,"I am seeking to return to San Salvador, El Salvador for 10 days to photograph the daily lives of children affected by birth defects.","The brand *Photo* centers on harnessing the power of visual storytelling to illuminate marginalized narratives, while *The Outside Children / Los Niños Exteriores* is a collaborative documentary-art project that explores the lives of children growing up in overlooked or peripheral communities. Through intimate photography and personal accounts, the project challenges societal invisibility by framing these youths as symbols of resilience, creativity, and cultural hybridity, bridging divides between “inside” and “outside” worlds. It advocates for redefining belonging and amplifying voices often excluded from mainstream discourse, embodying *Photo*’s mission to use imagery as a catalyst for empathy and social reflection.",The Outside Children / Los Niños Exteriores,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.022, 'Recall': 0.417, 'F1': 0.042}",0.004,0.382,0.098,"['Pathos', 'Loaded Language']",['Loaded Language'],"['Ethos', 'Ad Hominem', 'Pathos', 'Loaded Language']",['Loaded Language']
Photobooks,"The ""Faces of Grayson"" project is a photo book featuring portraits of the wild ponies that roam the wilds of the Grayson Highlands.","Photobooks is a brand dedicated to crafting visually compelling narratives that preserve and celebrate meaningful moments through artistry and emotional resonance. Their project *Faces of Grayson: A Photo Book of Wild Ponies* encapsulates this ethos by spotlighting the untamed grace and resilience of wild ponies in Grayson’s rugged landscapes. Through intimate photography and evocative storytelling, the book bridges the connection between these iconic creatures and their environment, emphasizing biodiversity and conservation. It serves as both a visual tribute to their freedom and a subtle call to protect fragile ecosystems, embodying Photobooks’ mission to transform photography into impactful, enduring stories.",Faces of Grayson: A photo book of wild ponies,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.029, 'Recall': 0.783, 'F1': 0.056}",0.007,0.66,0.153,"['Ethos', 'Ad Hominem']",[],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Photobooks,"A 244 page fine art monograph from Grammy nominated photographer Ethan Russell with The Beatles, The Rolling Stones, The Who & more.","Photobooks is a brand dedicated to curating and preserving visual narratives through meticulously crafted photography collections, emphasizing artistry, storytelling, and tangible heritage. The project *ETHAN RUSSELL PHOTOGRAPHS: A MONOGRAPH* encapsulates this ethos by showcasing Russell’s iconic work—spanning legendary moments in rock history with artists like The Beatles and The Rolling Stones—presented as a cohesive, high-quality monograph. It merges archival reverence with artistic expression, offering a timeless, immersive experience that celebrates photography’s power to document culture and emotion, while reflecting the brand’s commitment to elevating photographic legacy through thoughtful design and enduring physical form.",ETHAN RUSSELL PHOTOGRAPHS: A MONOGRAPH,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.036, 'Recall': 0.571, 'F1': 0.069}",0.004,0.65,0.187,"['Ethos', 'Ad Hominem', 'Smears']",['Smears'],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Photography,Final Year Degree Show 2019 for the University of Salford BA (Hons) Photography Course.,"The brand Photography embodies the art of capturing and interpreting the human experience, blending technical mastery with creative storytelling to reveal unseen perspectives and evoke emotion. The University of Salford Photography Degree Show 2019 showcased emerging talent through this lens, presenting a diverse array of student works that explored identity, societal issues, and environmental themes. The project emphasized innovation in visual narratives, bridging academic rigor with professional practice, and highlighted photography’s power to provoke thought, challenge norms, and connect audiences to multifaceted truths.",University of Salford Photography Degree Show 2019.,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.032, 'Recall': 0.643, 'F1': 0.061}",0.013,0.578,0.154,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Photography,Put down your phone and reconnect with the physical experience of analogue photography with the VIDERE 35mm pinhole camera kit!,"The brand Photography celebrates the foundational art and science of capturing light, emphasizing simplicity, creativity, and hands-on learning. Its Kickstarter Gold project, **VIDERE 35mm DIY pinhole camera kit**, embodies this ethos by offering an accessible, build-it-yourself film camera that strips photography back to its roots. Designed for enthusiasts, educators, and curious minds, the kit combines minimalist design with 35mm film compatibility, enabling users to craft a functional pinhole camera while exploring the principles of light, optics, and analog photography. By merging tactile engagement with educational value, VIDERE fosters a deeper connection to the photographic process, inviting creators to slow down, experiment, and rediscover the joy of image-making through raw, unfiltered experimentation.",Kickstarter Gold: VIDERE 35mm DIY pinhole camera kit,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.022, 'Recall': 0.6, 'F1': 0.043}",0.003,0.398,0.108,[],[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Playing Cards,Exclusive mini playing cards from the Flick mobile game by artists including Explosm: Cyanide & Happiness and The Awkward Yeti!,"The brand *Playing Cards* champions artistic innovation and accessibility in card design, collaborating with independent artists to transform traditional decks into unique, portable works of art. The *Flick Solitaire Mini Card Decks* project embodies this vision, offering compact, travel-friendly decks that merge minimalist functionality with bold, original artwork. Each deck reimagines solitaire as a tactile, visually engaging experience, prioritizing creativity and convenience while celebrating the individuality of emerging artists. The result is a fusion of playable practicality and collectible artistry, designed to inspire both casual gamers and design enthusiasts.",Flick Solitaire Mini Card Decks by Independent Artists,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.029, 'Recall': 0.474, 'F1': 0.055}",0.004,0.506,0.113,"['Ethos', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Name calling/Labeling', 'Smears', 'Loaded Language']","['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Poetry,"Expand your cosmic world. Let's dive into ""The Psychic World of Walter Reed: Illuminated Lyrics"" publishing project . . .","Poetry, as a brand, champions profound artistic expression that merges lyrical depth with visionary storytelling, emphasizing themes of spirituality, existential inquiry, and societal reflection. Killah Priest’s *The Psychic World of Walter Reed* epitomizes this ethos, offering a conceptual journey into the fractured psyche of a traumatized soldier navigating surreal mental landscapes. Through dense metaphor and esoteric symbolism, the project critiques systemic oppression, war, and spiritual decay, framing Walter Reed as both a physical institution and a metaphor for societal disillusionment. It intertwines gritty realism with mystical allegory, embodying Poetry’s mission to elevate art as a medium for confronting existential truths and illuminating hidden human experiences.","Killah Priest ""The Psychic World of Walter Reed"" Book",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.028, 'Recall': 0.667, 'F1': 0.053}",0.009,0.55,0.166,"['Pathos', 'Loaded Language']",['Loaded Language'],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Pop,A traveling karaoke caravan that brings the ultimate party vibe to your special event.,"Pop is a vibrant lifestyle brand centered on fostering joy, connection, and self-expression through music and communal experiences. Its flagship project, **AirScream: Mobile Karaoke**, reimagines karaoke as an on-the-go social activity by offering a portable, app-driven platform that transforms smartphones into instant microphones and provides access to a global song library. Combining cutting-edge audio tech with social sharing features, AirScream empowers users to create spontaneous, inclusive musical moments anywhere—breaking free from traditional karaoke settings to celebrate creativity, collaboration, and the universal love of singing.",AirScream: Mobile Karaoke,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.014, 'Recall': 0.357, 'F1': 0.027}",0.002,0.507,0.082,[],[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Pop,"I stand for self-love, self-empowerment, and self belief. I'm here to invite you on my journey to inspire people to ""Stay Weird'"".","Pop is a dynamic brand rooted in celebrating individuality and creative self-expression, championing the power of authenticity in a world often driven by conformity. Its project “Why I Stay Weird - Inspire Through Originality” amplifies this ethos by spotlighting personal stories and art that embrace uniqueness, encouraging people to boldly own their quirks and differences. The initiative underscores that true connection and inspiration arise not from fitting in, but from unapologetically staying weird—transforming perceived flaws into strengths and fostering a culture where originality is both a rebellion and a gift to the world.",“Why I Stay Weird” - Inspire Through Originality,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.038, 'Recall': 0.52, 'F1': 0.07}",0.004,0.571,0.158,['Pathos'],[],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Smears', 'Loaded Language']"
Pottery,A series of coat hooks and cupboard handles that use the natural process of metal patination to create beautifully coloured objects,"Pottery is a brand rooted in artisanal craftsmanship and sustainable design, creating handcrafted ceramics that celebrate imperfection as a mark of human touch and authenticity. The Test Cups project embodies this ethos by inviting users to trial prototype cups, blending functional design with community collaboration; each piece is refined through real-world feedback, ensuring the final products harmonize practicality, aesthetic simplicity, and emotional resonance, while fostering a dialogue between creator and consumer.",Test Cups,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.028, 'Recall': 0.381, 'F1': 0.052}",0.002,0.276,0.097,"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language'],"['Ethos', 'Glittering generalities (Virtue)', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Pottery,Investing in the next generation of ceramic artists to allow dreams & ideas to become a reality.,"Pottery embodies artisanal craftsmanship, blending tradition with contemporary design to create functional, aesthetically resonant ceramic pieces that celebrate tactile creativity and mindful making. The project *The Next Step - Setting Up My First Ceramics Studio!* marks a pivotal evolution, transitioning from individual practice to a dedicated studio space designed to amplify artistic innovation, sustainable production, and community engagement. This milestone reflects a commitment to elevating handmade ceramics through refined techniques, educational workshops, and a nurturing environment where artistry and purpose converge.",The next step - setting up my first ceramics studio!,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.021, 'Recall': 0.5, 'F1': 0.04}",0.003,0.46,0.127,[],[],"['Pathos', 'Loaded Language']",['Loaded Language']
Pottery,"Each piece is a hand-painted story, personalized with chibi, floral charm.","Pottery embodies the fusion of traditional craftsmanship and contemporary artistry, creating functional yet whimsical ceramic pieces that celebrate individuality and creativity. The *Little Clay Home* project specializes in hand-painted chibi (playful, miniature characters) and intricate floral designs, transforming everyday ceramics into vibrant, collectible art. Each piece merges utility with storytelling, offering a tactile, joyful connection to art through bespoke tableware and décor, designed to infuse homes with warmth, personality, and a touch of imaginative charm.",Little Clay Home – Hand-Painted Chibi & Floral Ceramics,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.022, 'Recall': 0.75, 'F1': 0.043}",0.005,0.626,0.146,[],[],"['Ethos', 'Pathos', 'Loaded Language']",['Loaded Language']
Pottery,"Mayware Ceramics has outgrown its home studio! Please, help me raise the capital needed to open a commercial studio and retail space.","Pottery embodies artisanal craftsmanship and sustainable design, creating timeless, functional homeware rooted in natural materials and traditional techniques. The Jeffrey Mayware Ceramics project epitomizes this ethos through innovative ceramic pieces that harmonize rustic authenticity with modern minimalism. Merging handcrafted precision with organic textures and earthy tones, the collection reimagines everyday objects as sculptural yet practical art, reflecting a commitment to mindful living where beauty and utility coexist. Each piece celebrates the integrity of raw elements, offering enduring elegance for contemporary spaces.",Jeffrey Mayware Ceramics,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.016, 'Recall': 0.409, 'F1': 0.031}",0.002,0.381,0.101,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Smears', 'Loaded Language']"
Print,"I will be creating the second issue of MERDE Magazine, a satirical fashion magazine based in Paris which supports my MA Thesis.","Print is a brand dedicated to authentic self-expression and collaborative creativity, championing diverse voices to challenge mainstream narratives. MERDE Magazine Issue 2 embodies this ethos through a bold exploration of identity, rebellion, and cultural evolution, blending raw personal essays, provocative art, and critical commentary. With gritty, tactile design, the issue disrupts complacency, sparking dialogue on resistance and societal transformation. It amplifies marginalized perspectives, reflecting Print’s mission to redefine storytelling as inclusive, confrontational, and boundary-pushing.",MERDE Magazine Issue 2,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.029, 'Recall': 0.409, 'F1': 0.054}",0.002,0.551,0.137,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Smears', 'Loaded Language']"
Print,a print-only magazine for experimental music and art,"Print is a brand dedicated to revitalizing slow journalism, emphasizing depth, permanence, and intentional engagement in an age of fleeting digital content. Its flagship project, *20 Seconds Magazine*, reimagines brevity by crafting articles designed to be read in 20 seconds, yet enriched with immersive visuals and layered narratives that invite reflection. The magazine challenges the trade-off between speed and substance, proving concise formats can still offer meaningful, lasting experiences while championing the tactile value of print in a screen-dominated world.",20 Seconds Magazine,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.014, 'Recall': 0.556, 'F1': 0.027}",0.002,0.396,0.041,[],[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Product Design,Enjoy your cold drinks with endless shapes of clear ice 🧊,"ORI Future's Product Design brand emphasizes innovative, user-centric solutions that blend functionality with playful engagement, epitomized by the GLAZER mini project. This compact, portable device reimagines ice-based recreation by merging sleek, minimalist design with intuitive technology, enabling users to ""roll out"" dynamic ice games and activities anywhere, fostering social interaction and creativity. GLAZER mini embodies ORI Future’s mission to transform everyday experiences through accessible, community-driven design, turning frozen surfaces into collaborative playgrounds where spontaneity and connection thrive.",GLAZER mini from ORI Future-Roll out the ice game together!,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.007, 'Recall': 0.2, 'F1': 0.013}",0.002,0.263,0.044,[],[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos']",['Smears']
Product Design,A sharp little totem to the magic of movement.,"Product Design champions innovative, user-centric solutions that harmonize functionality with minimalist aesthetics. The Sidewinder Knife Mini epitomizes this philosophy through its compact, tactical design featuring a rotating handle for effortless one-handed operation and portability, maintaining robust durability. This reimagined folding knife reflects the brand’s mission to elevate everyday tools into elegantly practical artifacts, merging intuitive usability with sleek, purposeful form.",The Sidewinder Knife Mini,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.008, 'Recall': 0.444, 'F1': 0.015}",0.001,0.175,0.036,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Loaded Language']"
Product Design,Clean never felt so good,"Product Design embodies human-centered, functional, and sustainable innovation, prioritizing ergonomic solutions that merge aesthetics with eco-conscious practicality. The Body Scrubber 2.0 exemplifies this ethos as an upgraded personal care tool featuring an adjustable handle, biodegradable materials, and modular exfoliating heads, designed to enhance accessibility, customization, and hygiene while minimizing environmental impact. This project reflects the brand’s commitment to reimagining everyday objects through thoughtful design that balances user needs, inclusivity, and planetary responsibility.",The Body Scrubber 2.0,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.003, 'Recall': 0.2, 'F1': 0.006}",0.001,0.283,0.011,[],[],"['Ethos', 'Glittering generalities (Virtue)', 'Ad Hominem', 'Name calling/Labeling', 'Smears', 'Pathos', 'Loaded Language']","['Glittering generalities (Virtue)', 'Name calling/Labeling', 'Smears', 'Loaded Language']"
Product Design,"A warm, easy-to-store tool for home bakers who want to confidently proof bread dough on their schedule...for sourdough & yeast breads.","Sourhouse's Product Design ethos centers on reimagining everyday kitchen tools through intuitive, user-focused innovation, exemplified by the DoughBed project—a compact, temperature-controlled proofing box designed to simplify dough fermentation. By combining precise climate control with space-efficient design, DoughBed ensures consistent, foolproof results for home bakers and professionals alike, transforming the finicky art of proofing into a seamless, reliable process that adapts to any recipe, embodying Sourhouse's mission to elevate culinary routines through smart, accessible technology.","DoughBed by Sourhouse: Your dough, proofed just right",deepseek-ai/deepseek-r1,generic,"{'Precision': 0.032, 'Recall': 0.435, 'F1': 0.06}",0.006,0.563,0.159,"['Ethos', 'Ad Hominem']",[],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
Product Design,Motorized | Fully Cyclic | Closed Loop | Random Routes | Dinosaur Factory | GBC Building Brick Set,"JMBricklayer’s Product Design ethos merges imaginative creativity with meticulous craftsmanship, emphasizing functional artistry and aesthetic innovation. The Steampunk Marble Run 70003 epitomizes this vision, blending industrial Victorian aesthetics—gears, brass tones, and riveted structures—with interactive engineering. This modular marble track challenges builders to assemble intricate, kinetic pathways, balancing retro-futuristic design with hands-on play, celebrating both visual storytelling and mechanical precision in a collectible, engaging experience.",JMBricklayer Steampunk Marble Run 70003,deepseek-ai/deepseek-r1,generic,"{'Precision': 0.003, 'Recall': 0.077, 'F1': 0.006}",0.001,0.336,0.017,"['Ethos', 'Ad Hominem', 'Name calling/Labeling']",['Name calling/Labeling'],"['Ethos', 'Ad Hominem', 'Smears', 'Pathos', 'Loaded Language']","['Smears', 'Loaded Language']"
